project_id,project_name,start_date,end_date,budget,actual_cost,team_size,tasks_total,tasks_completed,risk_score,success
67,Project_67,2024-09-16,2025-08-15,709438,795169.11,12,183,154,9.91,0
68,Project_68,2024-11-05,2025-06-30,875264,1042579.7,5,55,50,0.62,0
69,Project_69,2024-07-09,2024-12-16,585581,598699.19,43,45,34,8.83,0
70,Project_70,2024-08-05,2025-02-02,88781,82484.17,47,62,56,5.16,0
71,Project_71,2024-02-13,2024-05-06,201475,164677.67,20,46,34,9.07,0
72,Project_72,2024-06-10,2024-11-06,170196,199105.04,49,88,46,5.71,0
73,Project_73,2024-07-20,2025-01-26,236507,276156.52,38,167,117,6.62,0
74,Project_74,2024-09-26,2025-02-18,316063,284834.73,49,30,22,5.44,0
75,Project_75,2024-12-16,2025-03-30,774121,834629.74,24,93,79,8.64,0
76,Project_76,2024-10-30,2025-03-21,786665,653068.69,36,123,68,7.34,0
77,Project_77,2024-09-27,2025-02-07,700607,607066.28,49,57,32,5.21,0
78,Project_78,2024-08-02,2025-05-12,131172,116313.31,10,153,96,8.68,0
79,Project_79,2024-09-08,2025-05-22,366902,336741.77,42,42,26,2.45,0
80,Project_80,2024-07-08,2024-11-26,494963,593130.27,46,66,57,1.57,0
81,Project_81,2024-10-22,2025-02-27,465968,502672.31,21,109,68,1.6,0
82,Project_82,2024-07-31,2025-01-29,328717,313491.07,44,65,53,3.34,1
83,Project_83,2024-07-26,2025-03-06,69101,75654.56,43,126,94,2.39,0
84,Project_84,2024-08-24,2025-07-29,505972,590014.83,39,159,125,9.3,0
85,Project_85,2024-12-03,2025-06-13,298790,353612.28,8,160,147,1.06,0
86,Project_86,2024-02-22,2024-10-16,900617,741338.88,28,123,86,6.99,0
87,Project_87,2024-10-06,2025-04-22,557337,533822.24,36,130,115,1.89,1
88,Project_88,2024-08-04,2025-02-10,744965,627783.81,47,123,87,8.82,0
89,Project_89,2024-09-08,2024-12-14,370260,345920.6,8,79,53,9.61,0
90,Project_90,2024-07-06,2025-05-20,893811,775713.51,39,190,186,4.65,0
91,Project_91,2024-02-10,2024-12-12,602673,638073.62,35,119,70,8.79,0
92,Project_92,2024-06-05,2025-05-04,660419,630903.13,24,87,47,0.05,0
93,Project_93,2024-01-15,2024-06-27,443374,395382.27,23,152,134,8.2,0
94,Project_94,2024-10-27,2025-06-08,730777,662358.13,8,139,74,2.29,0
95,Project_95,2024-03-05,2024-08-09,557577,526429.65,8,56,51,9.09,0
96,Project_96,2024-12-10,2025-02-10,382370,345654.81,6,91,65,0.01,0
97,Project_97,2024-11-22,2025-06-15,897225,880443.61,32,146,139,5.56,0
98,Project_98,2024-01-09,2024-02-29,281967,229218.41,13,125,107,7.57,0
99,Project_99,2024-12-09,2025-09-02,201232,183504.55,32,111,89,2.59,1
100,Project_100,2024-05-08,2024-11-11,314119,302962.34,33,50,48,1.93,1
101,Project_101,2024-05-15,2024-07-21,19540,20343.34,26,141,98,0.84,0
102,Project_102,2024-03-03,2024-11-17,550652,500202.95,11,156,152,3.26,1
103,Project_103,2024-05-18,2024-08-06,407827,347988.2,5,70,39,5.6,0
104,Project_104,2024-03-21,2025-01-08,561951,466689.15,33,48,35,1.16,0
105,Project_105,2024-06-11,2025-04-19,61991,72914.6,42,59,37,3.77,0
106,Project_106,2024-10-15,2024-12-10,198751,192123.77,39,60,46,0.09,0
107,Project_107,2024-09-17,2025-05-30,376326,388543.44,38,30,17,8.19,0
108,Project_108,2024-08-18,2025-06-20,696337,813092.26,26,170,156,1.28,0
109,Project_109,2024-02-10,2024-12-21,628992,524012.84,33,20,18,2.83,1
110,Project_110,2024-01-28,2024-06-02,59115,68021.54,8,65,63,0.18,0
111,Project_111,2024-05-14,2025-03-23,363151,370644.68,4,120,69,4.32,0
112,Project_112,2024-07-19,2025-06-30,753583,652552.92,22,168,136,8.4,0
113,Project_113,2024-11-23,2025-10-22,201962,194792.76,30,109,80,3.92,0
114,Project_114,2024-09-24,2025-03-19,731747,813000.86,13,129,86,1.79,0
115,Project_115,2024-02-02,2024-03-06,159143,157893.41,6,183,123,7.54,0
116,Project_116,2024-02-17,2024-04-21,724635,865297.1,17,76,53,7.89,0
117,Project_117,2024-03-02,2024-10-09,999873,950574.85,8,20,17,1.74,1
118,Project_118,2024-08-03,2024-10-20,546226,600756.46,32,82,65,7.71,0
119,Project_119,2024-10-19,2024-12-04,962699,921491.42,40,74,54,9.47,0
120,Project_120,2024-04-08,2024-10-26,363824,411727.14,4,134,72,1.66,0
121,Project_121,2024-06-20,2025-02-24,14000,14386.86,17,187,100,7.71,0
122,Project_122,2024-12-25,2025-06-30,735948,607454.96,13,162,81,7.09,0
123,Project_123,2024-08-01,2024-10-15,897474,731197.87,10,168,165,4.74,0
124,Project_124,2024-02-04,2024-03-10,365754,312185.98,28,194,97,0.58,0
125,Project_125,2024-08-14,2024-12-20,261492,210623.64,47,72,39,0.75,0
126,Project_126,2024-04-10,2024-12-28,900123,747231.37,46,156,102,8.52,0
127,Project_127,2024-05-10,2024-07-15,509522,548595.08,7,199,179,9.9,0
128,Project_128,2024-09-13,2025-07-19,501072,507955.98,8,76,74,6.76,0
129,Project_129,2024-01-05,2024-12-01,48304,53132.68,28,136,121,4.46,0
130,Project_130,2024-08-05,2025-03-03,514999,600110.98,6,173,146,6.48,0
131,Project_131,2024-09-11,2025-01-13,341593,353227.59,21,188,143,5.94,0
132,Project_132,2024-12-24,2025-05-01,617274,673105.41,22,54,29,3.84,0
133,Project_133,2024-10-09,2025-05-14,161836,178478.0,35,82,80,0.66,0
134,Project_134,2024-07-25,2024-12-17,118940,113128.62,22,44,38,8.22,0
135,Project_135,2024-01-15,2024-08-22,834926,748456.0,14,109,89,3.72,1
136,Project_136,2024-12-11,2025-09-19,275517,243010.99,49,94,82,8.19,0
137,Project_137,2024-02-11,2024-08-19,677521,610159.81,3,57,49,2.53,1
138,Project_138,2024-06-27,2025-04-08,631820,574888.42,28,149,121,0.01,1
139,Project_139,2024-03-03,2025-02-18,889090,784969.61,16,154,152,1.59,1
140,Project_140,2024-12-17,2025-05-23,395777,455653.42,40,181,172,4.69,0
141,Project_141,2024-08-18,2024-10-04,634674,699918.27,39,110,90,9.44,0
142,Project_142,2024-08-28,2025-07-04,561638,459845.94,13,36,30,1.02,1
143,Project_143,2024-02-21,2024-10-30,627296,569251.67,38,147,77,8.54,0
144,Project_144,2024-04-05,2024-06-27,890729,720487.44,15,190,158,5.27,0
145,Project_145,2024-08-09,2024-11-04,559639,559228.27,45,127,66,8.26,0
146,Project_146,2024-08-18,2025-08-05,622956,617028.12,5,198,157,2.98,0
147,Project_147,2024-08-24,2025-03-15,648873,734880.21,35,171,170,8.4,0
148,Project_148,2024-05-22,2025-03-27,942809,870317.26,8,44,34,7.73,0
149,Project_149,2024-06-19,2024-11-09,347497,391474.24,12,199,146,2.3,0
150,Project_150,2024-01-29,2024-12-11,217869,258651.79,7,107,70,1.31,0
151,Project_151,2024-02-05,2024-08-03,75953,63448.35,25,180,100,8.68,0
152,Project_152,2024-01-13,2024-06-17,853890,953562.13,12,196,169,9.63,0
153,Project_153,2024-06-08,2024-12-09,510328,528690.81,46,48,28,0.31,0
154,Project_154,2024-11-22,2025-09-20,816790,810270.7,4,82,45,7.31,0
155,Project_155,2024-07-05,2024-11-15,13267,12845.3,15,169,120,9.1,0
156,Project_156,2024-08-30,2025-07-24,92745,103305.62,42,173,155,8.57,0
157,Project_157,2024-03-26,2024-12-26,886020,935410.78,4,175,152,9.65,0
158,Project_158,2024-10-10,2025-05-03,834945,936823.21,22,133,70,7.6,0
159,Project_159,2024-03-06,2024-05-13,167164,194120.94,3,68,49,4.42,0
160,Project_160,2024-06-18,2025-01-03,545626,571218.85,39,100,76,3.12,0
161,Project_161,2024-02-14,2024-11-16,141484,168675.12,11,103,84,3.21,0
162,Project_162,2024-03-02,2024-04-26,541831,565257.14,19,124,102,7.24,0
163,Project_163,2024-05-13,2025-04-13,902323,951641.93,11,196,133,7.46,0
164,Project_164,2024-10-10,2024-11-21,961000,982071.12,13,167,130,2.0,0
165,Project_165,2024-01-28,2025-01-07,70692,59126.85,17,137,101,8.68,0
166,Project_166,2024-04-17,2025-03-25,230156,250998.65,26,105,98,7.15,0
167,Project_167,2024-02-13,2024-04-18,233992,238432.82,40,82,62,5.63,0
168,Project_168,2024-12-05,2025-06-25,526771,516427.42,37,123,88,4.72,0
169,Project_169,2024-10-12,2024-11-30,840857,978916.06,32,68,47,5.43,0
170,Project_170,2024-11-26,2025-11-11,573044,526732.75,33,90,70,1.59,0
171,Project_171,2024-05-07,2025-02-24,553176,558398.49,7,20,18,2.04,0
172,Project_172,2024-12-13,2025-06-02,701095,756521.29,46,160,123,0.91,0
173,Project_173,2024-08-18,2025-02-06,843727,943783.5,16,198,164,1.54,0
174,Project_174,2024-07-08,2024-11-06,124352,122329.88,13,142,123,4.54,0
175,Project_175,2024-08-12,2025-07-29,879474,999818.2,11,81,61,5.3,0
176,Project_176,2024-10-09,2025-08-22,95999,106325.33,36,51,36,0.18,0
177,Project_177,2024-04-30,2024-12-30,27955,23104.65,14,177,166,7.97,0
178,Project_178,2024-04-25,2024-07-14,834273,682722.73,37,48,34,2.94,0
179,Project_179,2024-08-20,2025-02-18,80640,84536.71,37,68,49,9.12,0
180,Project_180,2024-09-15,2025-04-18,206582,193973.34,3,192,191,9.68,0
181,Project_181,2024-12-24,2025-03-26,962415,850440.24,42,49,24,1.85,0
182,Project_182,2024-07-16,2025-02-20,986535,1017965.98,24,163,96,4.62,0
183,Project_183,2024-05-16,2024-10-17,754086,706296.01,31,187,129,0.01,0
184,Project_184,2024-11-13,2025-05-11,410573,416692.74,10,38,36,5.98,0
185,Project_185,2024-06-13,2025-05-22,435695,428744.65,13,37,19,6.07,0
186,Project_186,2024-08-12,2024-11-07,71476,73899.5,43,20,10,2.48,0
187,Project_187,2024-11-02,2025-10-02,316955,304314.9,39,97,51,5.58,0
188,Project_188,2024-08-21,2025-03-18,177280,191297.0,16,134,72,2.26,0
189,Project_189,2024-06-20,2025-01-05,685510,597783.17,32,194,100,1.61,0
190,Project_190,2024-05-31,2025-05-21,605468,653058.14,37,132,97,6.52,0
191,Project_191,2024-11-10,2025-09-06,708646,683605.63,23,133,105,3.26,0
192,Project_192,2024-06-08,2024-08-30,647144,744038.96,39,185,117,5.9,0
193,Project_193,2024-04-05,2024-08-13,864882,870152.96,7,198,138,4.33,0
194,Project_194,2024-08-20,2025-06-09,424568,504915.01,21,82,44,9.84,0
195,Project_195,2024-06-28,2024-09-18,196141,204138.48,16,151,100,1.5,0
196,Project_196,2024-04-22,2024-07-20,908320,807986.63,28,148,112,4.65,0
197,Project_197,2024-11-13,2025-03-30,644736,727724.0,6,27,23,6.8,0
198,Project_198,2024-02-21,2024-03-26,548685,514684.66,27,176,88,3.96,0
199,Project_199,2024-09-24,2025-02-03,969059,909992.61,47,74,54,9.75,0
200,Project_200,2024-10-21,2025-06-03,188031,152816.91,44,122,79,7.22,0
